fileName;probScore;xTopLeft;yTopLeft;xDownRight;yDownRight;
jpgImages\video\frames\moana_1080p_2min 170.jpg;1.00;175.41;93.95;555.83;499.29;
jpgImages\video\frames\moana_1080p_2min 171.jpg;1.00;174.67;91.13;561.78;498.68;
jpgImages\video\frames\moana_1080p_2min 172.jpg;1.00;173.00;86.81;559.86;499.55;
jpgImages\video\frames\moana_1080p_2min 173.jpg;0.99;678.85;164.46;870.30;327.89;
jpgImages\video\frames\moana_1080p_2min 173.jpg;0.44;426.72;271.05;504.81;467.89;
jpgImages\video\frames\moana_1080p_2min 174.jpg;0.96;606.86;163.75;835.96;457.88;
jpgImages\video\frames\moana_1080p_2min 175.jpg;0.99;588.92;277.34;801.40;463.39;
jpgImages\video\frames\moana_1080p_2min 175.jpg;0.83;422.27;267.61;514.31;446.56;
jpgImages\video\frames\moana_1080p_2min 176.jpg;0.23;517.15;204.35;751.73;452.74;
jpgImages\video\frames\moana_1080p_2min 176.jpg;0.23;428.66;276.70;487.47;436.31;
jpgImages\video\frames\moana_1080p_2min 177.jpg;0.55;425.87;198.88;699.57;464.57;
jpgImages\video\frames\moana_1080p_2min 177.jpg;0.24;363.68;278.94;510.26;456.37;
jpgImages\video\frames\moana_1080p_2min 178.jpg;0.96;410.35;153.24;631.87;466.11;
jpgImages\video\frames\moana_1080p_2min 179.jpg;0.99;371.12;184.16;614.43;468.10;
jpgImages\video\frames\moana_1080p_2min 180.jpg;0.99;532.09;300.12;631.64;442.57;
jpgImages\video\frames\moana_1080p_2min 180.jpg;0.88;332.34;211.92;548.64;463.09;
jpgImages\video\frames\moana_1080p_2min 181.jpg;1.00;554.63;278.46;652.47;449.27;
jpgImages\video\frames\moana_1080p_2min 181.jpg;0.26;275.94;255.68;500.18;423.50;
jpgImages\video\frames\moana_1080p_2min 182.jpg;0.97;578.44;275.19;654.56;443.26;
jpgImages\video\frames\moana_1080p_2min 183.jpg;0.98;177.81;228.83;515.04;436.09;
jpgImages\video\frames\moana_1080p_2min 183.jpg;0.92;585.00;266.97;655.23;441.29;
jpgImages\video\frames\moana_1080p_2min 184.jpg;0.98;586.04;265.64;665.10;430.18;
jpgImages\video\frames\moana_1080p_2min 185.jpg;0.96;477.29;190.88;773.49;502.93;
jpgImages\video\frames\moana_1080p_2min 185.jpg;0.24;2.67;341.42;89.32;506.61;
jpgImages\video\frames\moana_1080p_2min 186.jpg;0.93;476.25;186.09;778.51;507.04;
jpgImages\video\frames\moana_1080p_2min 186.jpg;0.85;5.72;64.98;291.72;516.99;
jpgImages\video\frames\moana_1080p_2min 187.jpg;0.91;12.01;161.54;581.91;502.57;
jpgImages\video\frames\moana_1080p_2min 187.jpg;0.79;485.73;192.90;769.65;501.44;
jpgImages\video\frames\moana_1080p_2min 188.jpg;0.91;126.50;63.90;647.46;515.26;
jpgImages\video\frames\moana_1080p_2min 188.jpg;0.79;531.98;172.02;727.11;512.63;
jpgImages\video\frames\moana_1080p_2min 189.jpg;0.93;35.03;63.39;623.36;493.90;
jpgImages\video\frames\moana_1080p_2min 189.jpg;0.72;538.30;178.02;711.69;508.72;
jpgImages\video\frames\moana_1080p_2min 190.jpg;0.95;80.37;63.23;631.22;515.33;
jpgImages\video\frames\moana_1080p_2min 190.jpg;0.52;528.01;164.53;796.89;509.45;
jpgImages\video\frames\moana_1080p_2min 190.jpg;0.24;545.73;225.70;687.68;497.62;
jpgImages\video\frames\moana_1080p_2min 191.jpg;0.99;535.15;174.78;719.81;508.13;
jpgImages\video\frames\moana_1080p_2min 191.jpg;0.92;20.78;145.15;628.97;511.93;
jpgImages\video\frames\moana_1080p_2min 192.jpg;0.27;290.55;234.98;700.33;491.27;
jpgImages\video\frames\moana_1080p_2min 195.jpg;0.99;400.28;146.35;647.69;404.24;
jpgImages\video\frames\moana_1080p_2min 195.jpg;0.90;647.96;252.66;851.50;422.42;
jpgImages\video\frames\moana_1080p_2min 196.jpg;0.43;378.98;161.22;673.24;494.53;
jpgImages\video\frames\moana_1080p_2min 197.jpg;0.82;276.95;73.50;548.28;330.21;
jpgImages\video\frames\moana_1080p_2min 198.jpg;0.99;276.93;95.67;518.30;381.12;
jpgImages\video\frames\moana_1080p_2min 198.jpg;0.33;558.02;143.81;709.56;455.37;
jpgImages\video\frames\moana_1080p_2min 199.jpg;0.99;282.51;86.58;591.81;454.37;
jpgImages\video\frames\moana_1080p_2min 201.jpg;0.97;322.80;166.56;593.39;453.13;
jpgImages\video\frames\moana_1080p_2min 201.jpg;0.40;131.05;114.46;468.40;434.32;
jpgImages\video\frames\moana_1080p_2min 202.jpg;0.98;405.99;189.25;605.17;438.39;
jpgImages\video\frames\moana_1080p_2min 203.jpg;0.97;384.46;156.64;688.29;451.68;
jpgImages\video\frames\moana_1080p_2min 203.jpg;0.95;270.00;279.87;444.91;493.49;
jpgImages\video\frames\moana_1080p_2min 204.jpg;0.93;385.72;154.04;668.35;385.53;
jpgImages\video\frames\moana_1080p_2min 204.jpg;0.71;313.09;240.27;482.08;488.37;
jpgImages\video\frames\moana_1080p_2min 205.jpg;0.59;305.13;228.75;480.31;499.20;
jpgImages\video\frames\moana_1080p_2min 205.jpg;0.53;444.34;147.69;695.65;452.64;
jpgImages\video\frames\moana_1080p_2min 206.jpg;1.00;18.25;203.79;273.84;506.25;
jpgImages\video\frames\moana_1080p_2min 206.jpg;0.99;451.69;61.93;987.58;500.29;
jpgImages\video\frames\moana_1080p_2min 207.jpg;1.00;531.95;76.44;1023.15;518.09;
jpgImages\video\frames\moana_1080p_2min 207.jpg;0.99;21.51;204.48;315.90;502.25;
jpgImages\video\frames\moana_1080p_2min 208.jpg;0.99;17.99;208.66;389.37;507.34;
jpgImages\video\frames\moana_1080p_2min 208.jpg;0.99;446.26;63.76;982.92;519.59;
jpgImages\video\frames\moana_1080p_2min 209.jpg;0.99;409.71;90.10;976.10;505.50;
jpgImages\video\frames\moana_1080p_2min 209.jpg;0.98;4.51;204.57;268.98;506.15;
jpgImages\video\frames\moana_1080p_2min 210.jpg;1.00;376.47;96.87;989.35;509.35;
jpgImages\video\frames\moana_1080p_2min 210.jpg;0.98;13.07;199.72;274.50;497.40;
jpgImages\video\frames\moana_1080p_2min 211.jpg;0.99;412.12;69.25;970.26;492.91;
jpgImages\video\frames\moana_1080p_2min 211.jpg;0.89;12.18;196.19;281.89;501.59;
jpgImages\video\frames\moana_1080p_2min 212.jpg;1.00;349.92;77.41;955.75;509.41;
jpgImages\video\frames\moana_1080p_2min 212.jpg;0.92;12.15;196.67;277.49;500.92;
jpgImages\video\frames\moana_1080p_2min 213.jpg;0.99;397.28;66.71;932.69;517.10;
jpgImages\video\frames\moana_1080p_2min 213.jpg;0.95;7.40;193.03;271.66;503.73;
jpgImages\video\frames\moana_1080p_2min 227.jpg;1.00;395.64;108.27;982.81;509.35;
jpgImages\video\frames\moana_1080p_2min 227.jpg;0.99;95.19;244.15;315.71;508.25;
jpgImages\video\frames\moana_1080p_2min 228.jpg;1.00;423.14;82.31;1005.60;512.67;
jpgImages\video\frames\moana_1080p_2min 228.jpg;0.99;93.79;239.82;319.09;510.47;
jpgImages\video\frames\moana_1080p_2min 229.jpg;1.00;363.66;111.36;947.84;509.46;
jpgImages\video\frames\moana_1080p_2min 229.jpg;0.99;94.01;238.82;313.82;507.83;
jpgImages\video\frames\moana_1080p_2min 230.jpg;1.00;357.39;103.14;910.02;508.57;
jpgImages\video\frames\moana_1080p_2min 230.jpg;0.99;88.04;234.79;322.39;505.66;
jpgImages\video\frames\moana_1080p_2min 231.jpg;1.00;347.37;97.58;896.34;502.33;
jpgImages\video\frames\moana_1080p_2min 231.jpg;0.95;91.59;241.15;318.91;504.59;
jpgImages\video\frames\moana_1080p_2min 232.jpg;1.00;340.28;101.64;862.75;508.89;
jpgImages\video\frames\moana_1080p_2min 232.jpg;0.97;85.87;240.02;328.86;501.58;
jpgImages\video\frames\moana_1080p_2min 233.jpg;0.99;347.05;80.45;912.22;518.88;
jpgImages\video\frames\moana_1080p_2min 233.jpg;0.95;85.30;235.91;319.57;504.39;
jpgImages\video\frames\moana_1080p_2min 234.jpg;0.98;354.69;91.35;910.52;518.75;
jpgImages\video\frames\moana_1080p_2min 234.jpg;0.96;68.74;232.18;299.47;504.39;
jpgImages\video\frames\moana_1080p_2min 235.jpg;1.00;331.21;82.30;915.04;517.01;
jpgImages\video\frames\moana_1080p_2min 235.jpg;0.94;78.38;227.45;327.98;500.99;
jpgImages\video\frames\moana_1080p_2min 236.jpg;0.99;402.84;108.16;969.77;504.81;
jpgImages\video\frames\moana_1080p_2min 236.jpg;0.92;83.18;225.52;321.17;503.46;
jpgImages\video\frames\moana_1080p_2min 237.jpg;1.00;334.10;95.19;908.38;509.51;
jpgImages\video\frames\moana_1080p_2min 237.jpg;0.87;59.53;218.44;297.63;506.99;
jpgImages\video\frames\moana_1080p_2min 238.jpg;0.99;348.51;90.34;949.11;515.94;
