fileName;probScore;xTopLeft;yTopLeft;xDownRight;yDownRight;
jpgImages\video\frames\moana_1080p_2min 593.jpg;0.74;264.23;251.08;382.17;336.83;
jpgImages\video\frames\moana_1080p_2min 594.jpg;0.90;276.27;286.51;440.73;387.99;
jpgImages\video\frames\moana_1080p_2min 595.jpg;0.24;274.13;281.88;445.50;379.22;
jpgImages\video\frames\moana_1080p_2min 595.jpg;0.20;454.64;317.45;490.68;393.32;
jpgImages\video\frames\moana_1080p_2min 598.jpg;1.00;52.10;127.62;616.60;501.37;
jpgImages\video\frames\moana_1080p_2min 598.jpg;0.99;783.15;307.26;993.36;512.32;
jpgImages\video\frames\moana_1080p_2min 599.jpg;1.00;52.47;132.03;620.81;493.76;
jpgImages\video\frames\moana_1080p_2min 599.jpg;0.99;784.74;305.21;984.75;504.77;
jpgImages\video\frames\moana_1080p_2min 600.jpg;1.00;72.40;138.04;597.75;488.23;
jpgImages\video\frames\moana_1080p_2min 600.jpg;0.99;780.36;306.81;982.01;503.08;
jpgImages\video\frames\moana_1080p_2min 601.jpg;1.00;83.68;117.85;598.26;496.29;
jpgImages\video\frames\moana_1080p_2min 601.jpg;0.99;780.05;315.82;980.47;503.42;
jpgImages\video\frames\moana_1080p_2min 602.jpg;0.99;93.78;116.27;630.49;499.99;
jpgImages\video\frames\moana_1080p_2min 602.jpg;0.99;779.23;308.87;971.80;503.32;
jpgImages\video\frames\moana_1080p_2min 603.jpg;0.99;111.67;132.44;565.39;491.85;
jpgImages\video\frames\moana_1080p_2min 603.jpg;0.97;783.69;310.98;978.15;504.61;
jpgImages\video\frames\moana_1080p_2min 604.jpg;0.98;776.87;304.83;988.32;507.64;
jpgImages\video\frames\moana_1080p_2min 604.jpg;0.93;36.92;115.00;559.15;511.65;
jpgImages\video\frames\moana_1080p_2min 605.jpg;0.99;153.56;152.19;711.67;493.18;
jpgImages\video\frames\moana_1080p_2min 605.jpg;0.90;771.47;290.18;992.80;501.33;
jpgImages\video\frames\moana_1080p_2min 606.jpg;0.99;770.99;304.76;984.81;502.96;
jpgImages\video\frames\moana_1080p_2min 606.jpg;0.99;142.97;146.53;708.51;502.34;
jpgImages\video\frames\moana_1080p_2min 607.jpg;0.99;461.69;122.62;798.81;503.24;
jpgImages\video\frames\moana_1080p_2min 608.jpg;0.98;501.01;147.08;818.38;498.35;
jpgImages\video\frames\moana_1080p_2min 608.jpg;0.46;11.04;174.37;293.19;434.79;
jpgImages\video\frames\moana_1080p_2min 609.jpg;0.58;457.84;113.97;852.16;506.76;
jpgImages\video\frames\moana_1080p_2min 610.jpg;0.62;241.98;171.60;746.91;513.97;
jpgImages\video\frames\moana_1080p_2min 610.jpg;0.26;31.95;115.18;620.87;493.32;
jpgImages\video\frames\moana_1080p_2min 611.jpg;0.77;1.85;67.87;607.58;486.79;
jpgImages\video\frames\moana_1080p_2min 611.jpg;0.47;315.58;268.86;677.60;512.88;
jpgImages\video\frames\moana_1080p_2min 612.jpg;0.93;355.11;145.05;760.43;506.43;
jpgImages\video\frames\moana_1080p_2min 613.jpg;0.92;401.77;159.42;773.63;499.10;
jpgImages\video\frames\moana_1080p_2min 614.jpg;0.95;412.19;141.73;778.57;503.71;
jpgImages\video\frames\moana_1080p_2min 628.jpg;0.89;419.47;205.21;704.20;451.69;
jpgImages\video\frames\moana_1080p_2min 629.jpg;0.21;387.60;121.74;681.85;395.93;
jpgImages\video\frames\moana_1080p_2min 630.jpg;0.72;188.47;103.42;369.90;395.26;
jpgImages\video\frames\moana_1080p_2min 631.jpg;0.60;57.05;170.58;160.66;373.73;
jpgImages\video\frames\moana_1080p_2min 632.jpg;0.33;458.48;87.09;967.36;458.70;
jpgImages\video\frames\moana_1080p_2min 633.jpg;0.88;660.57;71.78;1020.23;512.63;
jpgImages\video\frames\moana_1080p_2min 634.jpg;0.95;469.55;80.45;700.58;506.81;
jpgImages\video\frames\moana_1080p_2min 636.jpg;0.94;318.63;151.01;460.05;447.51;
jpgImages\video\frames\moana_1080p_2min 637.jpg;0.81;310.97;203.28;420.49;445.05;
jpgImages\video\frames\moana_1080p_2min 638.jpg;0.88;261.70;159.00;531.88;506.57;
jpgImages\video\frames\moana_1080p_2min 639.jpg;0.97;280.61;138.99;509.95;492.01;
jpgImages\video\frames\moana_1080p_2min 640.jpg;0.98;282.29;136.43;508.49;493.92;
jpgImages\video\frames\moana_1080p_2min 641.jpg;0.97;281.44;143.51;513.96;500.99;
jpgImages\video\frames\moana_1080p_2min 642.jpg;0.98;280.74;145.01;505.89;501.67;
jpgImages\video\frames\moana_1080p_2min 643.jpg;0.99;231.78;122.42;575.79;498.28;
jpgImages\video\frames\moana_1080p_2min 643.jpg;0.44;292.05;76.51;877.92;526.59;
jpgImages\video\frames\moana_1080p_2min 644.jpg;0.92;255.16;123.45;605.36;508.54;
jpgImages\video\frames\moana_1080p_2min 644.jpg;0.22;357.07;15.12;946.89;530.96;
jpgImages\video\frames\moana_1080p_2min 645.jpg;0.99;258.41;123.89;554.56;506.78;
jpgImages\video\frames\moana_1080p_2min 645.jpg;0.31;291.68;80.66;880.37;520.15;
jpgImages\video\frames\moana_1080p_2min 646.jpg;1.00;269.59;128.23;529.67;503.87;
jpgImages\video\frames\moana_1080p_2min 650.jpg;0.44;558.26;206.01;764.48;442.90;
